"school_ID" "stud_ID" "grade" "gender" "immig" "SCHRISK" "BULLIED" "FEELSAFE" "BELONG" "TEACHSUP" "ANXMAT" "MATHPERS" "math_time" "study_time" "EXERPRAC" "STUDYHMW" "PAREDINT" "ESCS" "FAMSUP" "FAMSUPSL" "PV1MATH" "PV2MATH" "PV3MATH" "PV4MATH" "PV5MATH" "PV6MATH" "PV7MATH" "PV8MATH" "PV9MATH" "PV10MATH" "mate" "MACTIV" "SCHSIZE" "SMRATIO" "SCHSEL"
"11" "38000025" "38000020" 1 1 0 -0.4624 -0.391 -0.756 -0.6098 -1.0693 0.5653 0.5244 4 5 6 10 14.5 -0.5715 0.5558 -0.5755 531.939 529.54 514.115 513.583 523.159 560.493 525.48 544.345 515.478 494.621 525.2753 4 1428 86.5455 2
"12" "38000071" "38000021" 2 0 0 -0.4624 -1.228 1.1246 1.4872 -1.0693 0.5653 0.3116 6 6 6 8 12 -0.3496 1.5622 2.3508 389.47 372.453 371.579 356.605 384.183 419.839 379.307 387.541 417.351 378.928 385.7256 4 423 42.3 1
"13" "38000111" "38000022" 1 0 0 -0.4624 -1.228 1.1246 0.3988 -0.3322 -0.638 0.1693 1 4 8 8 12 0.1136 -0.0262 -0.0667 432.711 470.559 395.751 413.186 420.569 449.25 474.542 465.17 429.105 456.075 440.6918 0 256 85.3333 1
"14" "38000035" "38000023" 1 1 0 -0.4624 -1.228 0.1368 0.5214 -0.1002 -2.3558 0.231 1 3 6 8 16 1.2894 -0.2692 -0.9986 567.446 566.483 524.111 580.37 550.858 527.569 557.427 568.023 543.799 583.543 556.9629 3 712 94.9333 1
"15" "38000005" "38000024" 1 0 0 -0.4624 1.1951 0.4417 -0.8804 -0.3322 0.7774 -0.2543 2 3 4 5 14.5 -0.2465 -0.7404 NA 515.55 508.251 545.061 501.057 495.179 518.335 497.552 491.546 493.366 497.268 506.3165 0 321 100 3
"16" "38000057" "38000025" 1 0 0 -0.4624 -0.1325 1.1246 1.1471 -2.1346 -0.6243 -0.862 1 1 3 3 12 -0.8807 -0.3371 -0.9615 627.862 645.778 685.023 602.195 636.895 607.731 611.238 628.363 577.31 576.031 619.8426 4 240 19.2 3
"17" "38000003" "38000026" 1 1 0 -0.4624 -1.228 -0.756 0.1689 -0.3322 0.1748 -0.362 2 5 5 6 14.5 0.3724 NA NA 353.175 368.362 388.726 394.743 346.266 348.941 340.25 386.327 371.057 425.235 372.3082 3 559 79.8571 1
"18" "38000164" "38000027" 1 0 0 -0.4624 -0.391 -0.756 -1.0375 0.4357 1.2595 -0.1375 3 6 0 10 16 0.9267 -0.6386 -0.5454 520.231 523.809 532.78 533.969 503.562 525.358 546.617 516.74 531.419 522.798 525.7283 3 1384 69.2 2
"19" "38000337" "38000030" 1 0 0 -0.4624 0.2289 1.1246 0.7356 0.1475 -0.2045 0.051 3 4 8 6 14.5 0.9118 -0.1994 -0.9715 437.335 451.207 477.283 487.694 392.522 476.137 489.161 445.843 449.755 487.12 459.4057 2 149 NA 1
"20" "38000013" "38000031" 1 0 0 0.8125 1.8223 -1.306 -1.0981 -0.5635 0.7889 -0.9967 2 2 2 4 16 0.4865 -1.0322 -0.0756 464.467 442.524 466.184 472.075 453.007 479.323 451.242 426.771 419.104 454.645 452.9342 0 1303 100 3
"21" "38000111" "38000032" 1 1 0 NA 0.5381 1.1246 -1.3057 0.8211 -0.4577 -0.6302 1 1 6 4 12 -1.385 -1.7889 -1.7101 501.632 428.143 461.241 465.986 429.66 496.553 437.014 471.232 499.686 487.637 467.8784 0 256 85.3333 1
"22" "38000051" "38000033" 0 1 1 NA -1.228 -2.7886 -1.338 -1.7015 -1.2756 0.4799 6 6 0 9 9 -1.9994 -0.5578 0.7319 295.144 321.507 324.216 299.354 239.739 312.556 282.615 285.967 281.622 390.724 303.3444 0 389 100 2
"23" "38000060" "38000034" 1 1 0 -0.4624 -1.228 1.1246 0.8452 0.4357 -0.3794 0.2717 1 3 4 7 16 0.606 -0.7237 -0.5754 584.746 644.118 610.81 577.265 614.81 592.595 595.718 589.264 562.142 650.525 602.1993 3 729 54 1
"24" "38000329" "38000036" 1 1 0 -0.4624 1.458 0.4417 -1.585 -0.3322 0.8918 1.1213 2 5 0 10 12 -0.8464 -1.5161 -0.9475 481.564 471.15 472.338 454.049 452.407 416.178 455.628 479.268 488.765 485.238 465.6585 2 1333 100 2
"25" "38000277" "38000038" 1 1 1 0.4017 0.4549 0.4417 -0.9707 -1.7015 0.905 -0.401 2 5 0 8 12 -1.3983 -2.4308 -1.7558 517.266 533.949 535.417 577.225 546.839 507.111 503.803 540.428 511.82 547.484 532.1342 4 1883 94.15 1
"26" "38000068" "38000039" 1 1 0 -0.4624 -1.228 -0.756 -0.7773 0.4357 0.1931 0.1624 2 6 2 6 16 -0.6046 -1.1989 -1.4089 548.818 546.374 530.969 576.685 574.301 546.872 557.192 585.821 502.06 511.119 548.0211 3 731 91.375 1
"27" "38000163" "38000040" 1 0 0 -0.4624 1.0459 0.4417 -0.7204 -0.5635 1.9397 -0.317 1 3 5 4 16 1.1657 -1.2188 -1.6889 701.946 657.796 661.112 640.444 675.911 649.226 600.835 626.147 609.502 634.191 645.711 4 882 58.8 3
"28" "38000302" "38000041" 1 1 0 1.4434 1.3022 -0.756 -0.9643 0.4357 0.6566 -0.4431 3 2 4 6 12 -1.3545 0.2006 0.6954 447.668 342.683 389.369 426.45 406.903 435.944 445.635 404.798 410.961 399.015 410.9426 0 504 91.6364 NA
"29" "38000232" "38000043" 1 0 0 -0.4624 -0.4588 -1.5644 -1.4788 -0.5635 NA NA 3 3 0 6 12 -0.9052 NA 0.0304 452.74 423.629 496.668 426.84 428.367 456.981 474.038 501.191 437.552 502.761 460.0767 2 1001 83.4167 1
"30" "38000068" "38000045" 1 0 0 0.8125 -0.267 1.1246 -0.8221 1.5558 -0.2885 -0.0605 1 5 2 5 9 -1.0109 -0.9137 -1.5318 595.33 635.875 627.08 559.115 637.594 591.157 658.069 572.944 618.506 613.308 610.8978 3 731 91.375 1
"31" "38000110" "38000046" 1 1 0 -0.4624 -0.3264 0.4417 -0.471 -1.3627 0.8251 -1.293 1 2 6 3 16 0.1651 -0.4047 -0.0328 499.331 446.222 455.431 426.198 450.604 441.52 419.514 425.01 452.42 449.459 446.5709 NA NA NA NA
"32" "38000056" "38000047" 1 0 0 0.8125 -0.391 1.1246 0.3249 -0.1002 -0.2045 0.0334 3 4 8 7 14.5 -0.8101 1.3818 1.2936 484.415 472.477 455.633 473.555 484.153 490.256 490.014 459.974 498.229 493.577 480.2283 4 1787 100 3
"33" "38000315" "38000048" 0 0 0 1.4434 2.156 1.1246 0.7979 -0.1002 -2.382 -0.5184 1 1 3 0 12 -0.5622 -0.8863 0.8939 509.949 465.062 506.169 448.156 450.107 495.912 534.939 499.234 482.831 511.129 490.3488 2 729 54 1
"34" "38000019" "38000049" 1 0 0 3.0521 0.8093 -0.756 -0.7485 -2.1346 -0.3744 -0.1911 1 1 3 2 16 -0.3468 -0.665 -0.9515 518.306 525.46 522.671 569.702 552.963 536.731 522.038 537.358 542.144 526.284 535.3657 0 289 72.25 1
"35" "38000079" "38000051" 2 1 0 -0.4624 -1.228 1.1246 -0.3485 1.5558 -0.2758 -0.1471 3 4 4 10 14.5 2e-04 0.3052 -0.0017 636.599 686.803 625.641 648.756 647.571 662.876 635.626 629.635 666.056 630.4 646.9963 3 906 64.7143 3
"36" "38000138" "38000052" 1 0 0 -0.4624 -0.1325 0.6342 -0.8721 0.4357 -2.3558 -0.5505 1 2 0 4 16 0.9264 -0.6616 -0.46 587.496 588.493 576.376 592.034 580.344 606.572 573.401 585.924 542.769 571.652 580.5061 1 1551 100 1
"37" "38000123" "38000053" 0 0 0 -0.4624 0.5783 0.6342 -0.5902 -2.1346 -1.6741 1.3773 4 3 8 6 12 -0.9933 0.6319 NA 422.622 405.15 389.398 384.84 392.779 446.935 353.301 420.819 397.555 467.036 408.0435 2 899 100 3
"38" "38000198" "38000054" 1 1 0 -0.4624 -1.228 1.1246 1.0833 0.4357 0.051 -0.376 1 3 3 3 16 0.0402 -0.5674 -0.4838 496.277 504.462 492.569 527.398 471.51 477.978 520.24 487.539 527.339 493.728 499.904 3 583 100 2
"39" "38000236" "38000056" 0 0 1 1.4434 1.7705 -1.2968 0.7286 -0.1002 -0.1371 0.4606 3 3 6 10 16 -1.1864 -0.8726 0.2612 405.145 327.152 324.835 375.818 384.2 320.339 379.319 330.318 379.194 362.417 358.8737 0 583 77.7333 3
"40" "38000263" "38000057" 1 0 0 -0.4624 0.6616 0.2938 -1.0919 -0.8059 -0.4577 -0.5549 3 3 3 8 12 -0.6606 -0.706 0.5617 508.12 503.814 468.186 464.9 495.923 520.263 489.16 458.4 530.68 489.219 492.8665 1 832 59.4286 3
"41" "38000301" "38000058" 1 0 0 0.8125 -0.391 0.4417 -0.595 -1.0693 0.6566 -1.0435 2 3 3 3 12 -1.3713 -0.5182 -2.0257 419.193 399.623 392.882 451.138 387.743 402.155 393.315 398.588 434.685 419.785 409.9107 1 613 100 1
"42" "38000284" "38000060" 1 0 0 -0.4624 -1.228 -0.0918 0.0342 -0.1002 0.6647 -0.4422 3 3 10 6 9 -1.1368 1.883 0.0697 454.536 437.54 445.826 435.771 472.147 449.309 467.265 428.489 468.286 460.413 451.9582 3 165 66 2
"43" "38000305" "38000062" 1 0 0 0.4017 -1.228 1.1246 0.6622 -0.3322 0.6387 0.5984 3 3 5 7 16 1.2916 -0.6937 0.1261 430.808 469.481 455.542 453.915 444.576 396.833 408.766 454.746 456.847 453.781 442.5295 1 773 64.4167 1
"44" "38000325" "38000070" 1 1 0 -0.4624 -1.228 0.1413 0.3519 -0.1002 0.8757 0.1334 2 5 3 6 14.5 0.6849 0.3023 0.3812 563.746 584.871 549.57 551.448 567.958 571.143 580.875 579.671 560.443 545.826 565.5551 2 69 46 3
"45" "38000255" "38000071" 0 1 0 -0.4624 -1.228 1.1246 1.1073 -0.1002 -2.3755 1.4496 1 1 3 3 16 0.7449 NA NA 463.126 458.08 498.838 489.001 515.192 486.72 501.177 484.56 466.654 467.469 483.0817 0 973 100 3
"46" "38000277" "38000073" 1 0 0 0.4017 -1.228 0.2802 0.7289 -0.5635 -0.2758 -0.0521 3 4 4 6 16 1.076 0.2487 0.638 671.735 610.446 671.707 670.632 660.76 630.487 619.785 615.11 643.563 659.784 645.4009 4 1883 94.15 1
"47" "38000227" "38000074" 1 0 0 0.8125 0.7935 0.4417 -0.338 0.4357 0.6387 1.0924 2 3 8 10 16 0.8666 1.6125 0.5604 510.325 522.627 529.975 507.445 484.957 497.476 508.728 488.691 513.162 500.904 506.429 2 627 96.4615 1
"48" "38000135" "38000075" 0 0 1 3.0521 0.3631 1.1246 0.2045 0.8211 0.1748 -0.9208 1 3 5 7 12 -0.7258 1.7553 1.8299 407.174 422.391 383.277 411.026 406.248 360.122 412.261 421.824 418.684 455.817 409.8824 3 1114 85.6923 3
"49" "38000064" "38000081" 1 1 0 -0.4624 0.5381 -0.756 -0.3868 1.5558 0.1932 -0.0828 5 6 6 10 12 -0.1786 -0.1504 1.1593 370.39 358.57 387.476 417.054 323.231 417.475 402.887 396.672 399.115 455.037 392.7907 1 690 81.1765 2
"50" "38000002" "38000082" 1 1 0 -0.4624 -1.228 -1.5679 -0.3014 1.5558 NA NA 1 1 10 0 9 -2.141 NA NA 266.726 279.993 310.214 299.42 333.481 290.623 316.547 243.695 288.37 249.336 287.8405 0 60 60 1
"51" "38000005" "38000084" 1 1 0 1.793 0.524 0.0877 -0.0536 1.5558 -0.5191 0.0389 1 2 4 3 12 -0.0557 -0.5564 -0.5196 488.269 487.588 508.443 500.246 504.067 442.255 511.193 504.35 505.41 471.724 492.3545 0 321 100 3
"52" "38000149" "38000085" 1 0 0 -0.4624 -1.228 -0.756 0.2442 -0.1002 0.051 0.3711 3 4 6 10 16 0.6166 0.4955 0.5421 478.179 507.937 488.301 455.131 476.548 524.82 485.53 492.939 503.132 460.049 487.2566 2 940 53.7143 2
"53" "38000318" "38000086" 1 1 0 -0.4624 -1.228 -0.756 0.3379 0.8211 -0.0575 0.6411 2 2 5 5 16 0.6648 1.4693 NA 496.298 530.102 518.251 499.13 520.85 503.388 535.538 455.302 537.388 531.206 512.7453 3 87 21.75 3
"54" "38000254" "38000087" 1 0 NA -0.4624 0.0959 0.2485 -0.8829 0.1475 0.8757 -1.0232 3 6 8 2 14.5 0.0034 -1.005 0.6001 297.734 314.914 303.601 278.541 341.444 283.938 350.674 299.097 318.227 308.494 309.6664 0 220 55 2
"55" "38000126" "38000088" 1 1 0 -0.4624 -1.228 -1.0389 1.4683 -1.3627 2.635 -0.2304 3 2 4 8 16 0.6936 0.1028 -0.3571 429.976 418.62 414.989 429.021 437.41 431.725 452.692 455.432 429.875 420.549 432.0289 3 717 65.1818 1
"56" "38000001" "38000091" 1 0 0 -0.4624 -1.228 1.1246 0.4087 1.5558 -2.3558 0.5464 1 1 10 0 12 -0.7087 0.0163 -0.3399 535.431 569.503 548.723 549.472 559.562 526.942 516.927 524.722 552.092 542.694 542.6068 1 189 22.2353 3
"57" "38000243" "38000093" 1 0 0 -0.4624 -1.228 1.1246 0.5094 1.5558 0.4067 2.7988 1 2 10 6 12 -1.2638 1.7613 0.038 357.093 320.603 408.535 376.901 375.47 417.97 426.606 405.633 341.826 429.353 385.999 3 115 57.5 1
"58" "38000130" "38000095" 1 1 0 0.4017 -0.391 1.1246 2.4581 -1.0693 0.905 -0.9612 1 1 1 0 16 0.543 -0.8192 -0.8934 480.888 432.185 435.638 383.569 421.47 397.088 422.953 418.956 402.324 437.696 423.2767 2 1004 91.2727 2
"59" "38000250" "38000097" 1 1 0 -0.4624 -1.228 -0.756 -0.6351 -0.1002 -0.2704 -0.1149 1 3 10 10 16 1.4642 -0.2095 0.8557 422.663 433.418 416.873 411.931 448.51 442.595 393.35 435.676 465.803 489.614 436.0433 3 620 100 3
"60" "38000288" "38000098" 1 0 0 3.0521 0.2275 0.3221 1.0833 -1.0693 2.635 -1.4284 1 1 6 0 9 -2.4065 0.1838 -2.2395 418.339 424.022 406.546 411.196 338.592 399.883 449.165 371.993 381.382 377.486 397.8604 0 467 46.7 3
"61" "38000213" "38000100" 0 1 0 1.4434 1.5299 -1.529 -0.7388 1.5558 -0.7107 1.8804 1 4 0 3 9 -1.6237 -1.2312 -1.271 401.687 380.294 390.741 382.972 346.312 395.335 366.133 402.858 357.144 376.024 379.95 2 719 84.5882 2
"62" "38000091" "38000101" 1 0 0 0.8125 0.5869 0.4417 -0.4375 -1.7015 0.7774 -0.4486 2 3 10 6 16 1.0934 -0.2985 0.1751 456.383 506.626 427.755 438.264 412.367 427.957 440.569 438.11 428.909 426.648 440.3588 1 791 83.2632 1
"63" "38000088" "38000102" 1 1 0 -0.4624 -1.228 0.6342 1.4872 -1.3627 0.1932 -0.4275 5 5 2 5 16 0.5809 NA NA 390.501 384.622 397.779 392.826 409.335 443.024 356.009 376.869 384.745 388.369 392.4079 3 1130 80.7143 3
"64" "38000246" "38000106" 1 0 0 0.8125 0.2988 -0.756 -0.7686 -1.0693 1.3807 -0.6779 3 5 5 6 14.5 1.115 0.0363 0.1196 551.866 577.804 538.849 609.601 580.773 537.422 564.197 594.69 597.973 597.757 575.0932 5 867 59.7931 2
"65" "38000052" "38000108" 1 1 0 -0.4624 -0.4588 1.1246 1.1073 0.8211 0.133 -0.0109 1 3 6 8 16 -0.0581 -0.2481 1.0207 453.656 424.92 470.999 449.573 423.458 420.97 448.719 446.508 454.927 425.107 441.8837 2 1779 100 2
"66" "38000286" "38000109" 1 0 0 -0.4624 -1.228 -0.756 0.2003 -0.3322 -0.3794 -0.3478 1 1 9 4 12 -0.7776 0.4846 0.4956 605.809 523.072 534.491 510.263 587.921 482.288 517.182 534.474 569.076 571.157 543.5733 1 73 24.3333 3
"67" "38000120" "38000115" 1 0 0 -0.4624 0.2121 -0.756 -0.767 -0.8059 -0.508 -0.3121 2 3 4 3 16 0.7741 -1.1672 -1.0977 556.927 591.645 523.515 597.838 548.883 602.88 621.201 546.56 586.947 549.674 572.607 1 1181 69.4706 3
"68" "38000221" "38000116" 1 0 0 0.8125 -1.228 -0.756 -0.7209 0.1475 0.8757 0.7191 4 5 10 10 16 0.4322 0.1282 0.9071 509.512 529.905 510.574 527.113 560.581 524.012 523.657 539.153 514.479 498.89 523.7876 4 932 84.7273 2
"69" "38000233" "38000118" 1 0 0 0.8125 -1.228 0.2802 0.167 -0.5635 1.9128 0.5314 3 1 4 6 16 0.8702 -0.4017 -0.6106 568.239 554.917 572.101 538.965 529.082 586.33 599.135 572.614 563.979 541.272 562.6634 3 2116 100 2
"70" "38000271" "38000119" 1 0 0 -0.4624 -1.228 0.6342 0.5644 0.8211 0.3729 -0.4074 2 3 10 8 16 0.0447 -1.5823 NA 556.374 538.061 509.157 553.583 537.627 520.329 500.004 533.402 500.29 534.029 528.2856 4 638 85.0667 2
"71" "38000150" "38000120" 1 1 0 0.4017 -1.228 0.4361 0.615 0.8211 -0.4577 0.6403 3 4 2 5 16 1.1193 0.3238 -0.4949 647.409 662.216 716.604 656.565 701.914 688.076 690.532 685.782 673.457 699.21 682.1765 2 1263 57.4091 3
"72" "38000168" "38000121" 1 1 1 -0.4624 -1.228 0.4417 0.1436 -0.8059 0.0962 -0.2437 2 5 0 7 9 -1.8302 -0.0142 0.7552 448.903 419.324 436.935 409.974 423.821 419.993 495.268 444.395 416.293 444.439 435.9345 1 1020 97.1429 3
"73" "38000168" "38000123" 1 1 1 -0.4624 -0.267 -0.756 -0.8108 -0.8059 0.6566 -0.4312 1 3 2 6 9 -1.9867 -0.3818 -0.8653 364.763 320.013 317.583 274.513 333.631 356.115 352.936 342.247 289.242 311.947 326.299 1 1020 97.1429 3
"74" "38000014" "38000124" 1 0 1 0.4017 0.5547 -1.15 -0.338 -1.0693 1.4193 -0.5203 3 4 10 10 9 -1.3019 0.7369 -0.668 408.984 455.779 494.814 444.909 460.057 412.251 436.438 476.961 437.368 455.337 448.2898 3 1140 100 1
"75" "38000002" "38000126" 1 1 0 -0.4624 -1.228 0.6942 0.032 NA -0.3744 -0.0619 3 4 0 2 9 -2.6555 -1.0747 0.7026 356.384 363.609 340.704 328.4 299.904 287.736 311.74 333.392 336.025 282.442 324.0336 0 60 60 1
"76" "38000307" "38000127" 0 1 0 -0.4624 -1.228 -0.756 -0.3128 0.8211 -0.508 0.7706 2 6 8 10 16 -0.2183 NA NA 463.469 477.859 466.12 441.434 474.622 462.626 411.037 447.15 489.458 427.591 456.1366 2 1126 97.913 1
"77" "38000229" "38000129" 1 1 0 0.4017 -0.0351 0.1368 -0.7169 0.8211 2.5429 0.1759 3 6 0 10 9 -1.5449 -1.6077 NA 543.176 497.407 535.116 520.766 508.98 535.179 509.383 504.021 544.068 484.476 518.2572 3 1026 78.9231 3
"78" "38000253" "38000130" 1 0 0 -0.4624 1.2573 0.0936 -1.7201 1.5558 -2.3558 -2.6933 NA NA 0 0 12 -0.9991 -2.4229 NA 406.192 441.383 402.307 427.119 437.122 421.213 452.541 459.026 419.518 459.473 432.5894 4 399 57 3
"79" "38000131" "38000132" 1 0 1 -0.4624 -1.228 1.1246 -0.0367 -1.7015 1.0161 -0.9525 1 6 1 5 12 -1.1442 -0.9406 -0.2138 469.3 460.774 434.554 480.333 509.076 500.8 482.569 475.429 432.164 465.693 471.0692 3 178 22.25 3
"80" "38000204" "38000133" 1 0 0 0.8125 0.6364 1.1246 1.4938 -2.1346 -2.382 2.6841 1 1 2 9 16 1.1609 -0.4163 -0.9299 737.624 752.688 723.304 768.854 701.944 732.048 704.901 712.114 722.832 762.552 731.8861 2 1069 56.2632 2
"81" "38000085" "38000134" 1 0 0 -0.4624 -0.267 -0.039 -0.3542 -2.9095 -2.3755 -0.7865 1 3 2 10 12 -0.7324 -0.0667 -1.0092 480.32 512.131 477.208 514.6 484.852 497.79 472.18 478.254 497.033 479.193 489.3561 4 259 16.1875 1
"82" "38000302" "38000136" 1 1 0 0.703 -1.228 0.4417 -0.8709 -0.1002 0.6387 0.306 1 1 2 2 12 -0.4402 -0.8798 0.083 500.612 504.084 431.7 468.641 456.173 431.27 441.551 464.079 421.793 481.505 460.1408 0 504 91.6364 NA
"83" "38000258" "38000137" 0 1 0 -0.4624 0.8145 0.6342 -1.165 -0.1002 1.8003 -0.7531 2 3 0 5 NA NA -0.6498 -1.028 334.784 297.216 316.029 342.721 308.057 285.011 290.281 322.462 240.485 280.799 301.7845 0 1084 100 3
"84" "38000278" "38000138" 1 1 0 -0.4624 -1.228 -0.756 0.3605 0.1475 0.429 0.3573 2 6 0 5 16 1.0043 1.7512 0.0391 617.793 559.352 573.195 542.005 563.157 586.806 593.288 527.195 573.269 602.004 573.8064 4 1409 67.0952 3
"85" "38000329" "38000140" 0 0 0 -0.4624 -0.1325 1.1246 -0.3261 0.4357 -0.1172 -0.4253 3 4 2 4 12 -1.0601 -0.1995 0.4348 481.938 550.878 499.447 480.815 541.99 561.533 490.307 471.574 500.673 511.148 509.0303 2 1333 100 2
"86" "38000150" "38000142" 1 0 0 -0.4624 -0.5168 0.4417 -0.338 -0.1002 0.1031 -0.5382 3 4 3 6 16 1.2384 -0.0711 0.5447 659.183 631.748 578.736 629.955 631.938 670.612 651.118 603.845 619.934 624.217 630.1286 2 1263 57.4091 3
"87" "38000199" "38000143" 1 0 0 -0.4624 0.1361 0.4417 0.1702 0.8211 -0.2885 0.807 2 4 8 8 16 1.0429 -0.0089 -0.4694 556.597 574.53 532.053 539.824 503.655 537.472 493.267 558.384 557.106 534.071 538.6959 4 663 53.04 3
"88" "38000319" "38000145" 1 1 1 0.8125 0.1361 -1.1042 -1.7506 1.5558 0.429 -0.0083 1 3 0 3 14.5 -0.3349 -0.4233 -0.0968 401.864 369.899 391.797 358.962 431.394 381.369 406.601 371.829 399.17 412.774 392.5659 0 414 100 2
"89" "38000024" "38000147" 1 1 0 -0.4624 -0.391 -0.756 -0.3261 -0.1002 0.6387 -0.1301 2 4 2 5 9 -0.6589 1.1887 -0.72 499.914 462.491 464.762 412.07 459.302 452.029 455.886 369.386 451.699 495.031 452.257 2 1082 51.5238 3
"90" "38000017" "38000149" 1 0 0 0.4017 -0.1325 0.4836 0.3378 -0.5635 1.5706 -0.1747 3 5 0 5 12 0.2468 1.7316 0.3834 454.098 490.623 475.465 490.512 488.255 456.81 488.504 475.997 497.993 516.293 483.455 1 474 45.1429 3
"91" "38000025" "38000150" 1 0 0 -0.4624 -1.228 0.6342 -0.3485 -0.3322 -0.1371 0.9968 4 6 0 5 16 1.1364 0.2855 0.0716 590.84 622.441 625.563 621.799 610.9 615.852 609.101 644.52 591.134 593.522 612.5672 4 1428 86.5455 2
"92" "38000155" "38000153" 1 0 0 -0.4624 0.7075 -0.756 0.9614 -0.5635 0.8251 -0.3776 3 3 6 8 16 0.812 -0.7971 NA 433.32 416.312 499.819 462.824 424.94 420.484 448.237 437.22 435.56 445.178 442.3894 2 714 84 3
"93" "38000120" "38000155" 1 0 0 -0.4624 -0.3264 -0.756 -0.4082 1.5558 -0.0423 0.917 1 2 10 1 14.5 -0.262 -0.0111 NA 596.437 636.059 610.095 602.816 613.976 610.908 650.476 630.499 572.961 479.718 600.3945 1 1181 69.4706 3
"94" "38000063" "38000157" 1 0 0 -0.4624 -1.228 1.1246 0.3378 -1.0693 -0.0423 -0.5018 1 1 8 3 16 0.503 -0.7934 -0.3924 428.675 433.066 415.852 525.721 444.111 431.493 418.717 443.09 399.146 445.909 438.578 4 424 94.2222 2
"95" "38000060" "38000158" 1 0 0 -0.4624 -1.228 1.1246 2.2967 1.5558 -1.6297 0.6669 1 1 4 7 16 1.0313 0.6144 0.5003 629.062 606.899 618.444 620.019 593.478 629.34 650.032 613.981 577.075 641.021 617.9351 3 729 54 1
"96" "38000063" "38000162" 2 0 0 -0.4624 -1.228 0.1368 0.0311 -1.0693 0.602 -0.3921 1 2 4 3 12 -1.0334 1.883 0.2763 456.272 432.06 432.914 446.647 455.183 422.623 422.672 466.798 463.934 487.945 448.7048 4 424 94.2222 2
"97" "38000035" "38000166" 0 1 0 -0.4624 1.5565 0.6342 -0.044 -0.5635 1.1417 -0.2765 1 2 4 3 16 1.1034 0.2311 -0.3909 435.045 435.16 431.297 464.195 432.137 423.434 475.84 427.179 411.352 441.404 437.7043 3 712 94.9333 1
